DocumentCopyID,DocumentCopyPropertyValue
62266,FRESHLINE Oxygen
62269,WELDAP 18
62270,PROTEC 10
62271,PROTEC 5
62272,INOMAXX 2
62273,WELDAP 2
62277,FRESHLINE Carbon Dioxide
62278,Helium
62279,FRESHLINE Nitrogen
62285,PRODARC 2
62286,Inolinx TIG
62287,HYTEC 2
62288,FRESHLINE 50%CO2 IN N2
62290,Hytec 7.5
62291,WELDAP 8
62292,FRESHLINE 30%CO2 IN N2
62293,FRESHLINE 20%CO2 IN N2
62297,FERROMAXX 7
62300,FERROMAXX 15
62301,FRESHLINE 20%CO2 IN O2
62312,HYTEC 35
62313,HYTEC 5
62314,WELDAP 15
62318,Krypton
62320,Argon
62321,Amoniak
62329,FRESHLINE 20%CO2 IN N2
62367,DABCO BL-11 Katalysator
62392,DABCO DMEA Katalysator
62441,SURFYNOL 104PA Overfladeaktiv stof
62501,POLYCAT 36 Katalysator
62502,Methan
62513,DABCO EG Katalysator
62524,DABCO 2039 Katalysator
62531,Neon
62532,Stickstoffmonoxid
62533,FRESHLINE Nitrogen
62534,Krypton
62541,Stickstoff
62542,Propan
62543,Propen
62548,Schwefeldioxid
62549,Sauerstoff
62550,Weldon Plus
62551,MEDIZINISCHES KOHLENDIOXID
62552,Atemluft
62558,FRESHLINE Oxygen
62559,Trans-LC
62560,PROTEC 20
62573,Stickstofftrifluorid
62578,Wasserstoff
62581,Weldon
62583,Sauerstoff
62586,Kohlendioxid
62588,"Luft, verdichtet (Druckluft)"
62590,Arsenwasserstoff (Arsin)
62592,Kohlendioxid
62593,Distickstoffmonoxid (Lachgas)
62596,FERROMAXX PLUS
62604,FERROMAXX 15
62609,DABCO 1027 Katalysator
62616,DABCO 2025 Katalysator
62621,Argon
62649,Chlor
62668,DABCO BL-11 Katalysator
62673,Helium
62685,POLYCAT 5 Katalysator
62687,POLYCAT 41 Katalysator
62690,POLYCAT 9 Katalysator
62697,"Hexafluor-1,3-Butadien"
62737,FRESHLINE Carbon Dioxide
62766,Schwefelhexafluorid
62769,Wolframhexafluorid
62773,INOMAXX PLUS
62774,ASTEC 50
62776,ALUMAXX PLUS
62777,ASTEC 30
62778,AIR
62782,DABCO TMR-30 Katalysator
62846,APACHI
62864,PRODARC 4 O4
62868,Ethylen
62885,Ethan
62896,INOMAXX 2
62897,FERROMAXX 7
62899,WELDAP 2
62909,HYTEC 35
62910,HYTEC 5
62911,HYTEC 2
62913,WELDAP 18
62914,WELDAP 8
62915,PROTEC 5
62916,DABCO DC5906
62921,FRESHLINE 20%CO2 IN N2
62922,FRESHLINE 20%CO2 IN N2
62923,FRESHLINE 30%CO2 IN N2
62926,WELDAP 15
62935,Tetrafluormethan
62945,PRODARC 2
62961,Erdgas
62971,Weldon 5
62990,Hytec 7.5
62994,PROTEC 10
62995,FRESHLINE 20%CO2 IN O2
62996,Gasgemisch 20%CO2 IN O2
62997,Weldap C2
62998,PRODARC 8
63006,ANCAMINE 2605 Curative
64519,ANCAMIDE 221X70 Agente endurecedor
64541,INOMAXX 2
